2020-10-02 18:53:33	Angie Palmer	Road	Footprints In The Snow
2020-10-30 22:46:29	The Chicks	Gaslighter	Hope It's Something Good
2020-10-30 22:50:36	The Chicks	Gaslighter	Set Me Free
2020-10-30 22:54:09	Bob Dylan	Rough and Rowdy Ways	Key West (Philosopher Pirate)
2020-10-30 23:03:45	Bob Dylan	Rough and Rowdy Ways	Murder Most Foul
2020-10-31 16:28:59	Emma Swift	Blonde On The Tracks	queen jane approximately
2020-10-31 17:13:44	Emma Swift	Blonde On The Tracks	I Contain Multitudes
2020-10-31 17:18:51	Emma Swift	Blonde On The Tracks	one of us must know (sooner or later)
2020-10-31 17:22:00	Emma Swift	Blonde On The Tracks	simple twist of fate
2020-10-31 17:26:00	Emma Swift	Blonde On The Tracks	sad eyed lady of the lowlands
2020-10-31 17:36:00	Emma Swift	Blonde On The Tracks	The Man In Me
2020-10-31 17:40:00	Emma Swift	Blonde On The Tracks	going going gone
2020-10-31 18:44:34	Paul Weller	On Sunset (Deluxe)	On Sunset
2020-10-31 18:51:10	Paul Weller	On Sunset (Deluxe)	Old Father Tyme
2020-10-31 22:52:47	Emma Swift	Blonde On The Tracks	you're a big girl now

